Namespace(basenet='vgg16_reducedfc.pth', batch_size=16, cuda=True, dataset='VOC', dataset_root='../data_SRDP/VOCdevkit', gamma=0.1, lr=1e-06, momentum=0.9, num_workers=8, resume=None, save_folder='weights/', start_iter=0, visdom=False, weight_decay=0.0005) 
iter 0 || Loss: 6074.5042724609375 || cur_lr: 1e-06 
iter 10 || Loss: 4479.6900634765625 || cur_lr: 1e-06 
iter 20 || Loss: 2887.6715087890625 || cur_lr: 1e-06 
iter 30 || Loss: 3917.0191650390625 || cur_lr: 1e-06 
iter 40 || Loss: 2342.8456420898438 || cur_lr: 1e-06 
iter 50 || Loss: 2248.0968017578125 || cur_lr: 1e-06 
iter 60 || Loss: 3378.2298583984375 || cur_lr: 1e-06 
iter 70 || Loss: 2945.2265014648438 || cur_lr: 1e-06 
iter 80 || Loss: 3293.26513671875 || cur_lr: 1e-06 
iter 90 || Loss: 2001.4127807617188 || cur_lr: 1e-06 
iter 100 || Loss: 1751.30126953125 || cur_lr: 1e-06 
iter 110 || Loss: 2624.3837890625 || cur_lr: 1e-06 
iter 120 || Loss: 1994.8067626953125 || cur_lr: 1e-06 
iter 130 || Loss: 3015.538818359375 || cur_lr: 1e-06 
iter 140 || Loss: 1199.16943359375 || cur_lr: 1e-06 
iter 150 || Loss: 2389.9458618164062 || cur_lr: 1e-06 
iter 160 || Loss: 1604.6868896484375 || cur_lr: 1e-06 
iter 170 || Loss: 1901.0913696289062 || cur_lr: 1e-06 
iter 180 || Loss: 1960.8910522460938 || cur_lr: 1e-06 
iter 190 || Loss: 1959.1011352539062 || cur_lr: 1e-06 
iter 200 || Loss: 1671.4805297851562 || cur_lr: 1e-06 
iter 210 || Loss: 2122.29296875 || cur_lr: 1e-06 
iter 220 || Loss: 1871.9564208984375 || cur_lr: 1e-06 
iter 230 || Loss: 2005.3076171875 || cur_lr: 1e-06 
iter 240 || Loss: 2167.0523681640625 || cur_lr: 1e-06 
iter 250 || Loss: 1621.87255859375 || cur_lr: 1e-06 
iter 260 || Loss: 1408.5655517578125 || cur_lr: 1e-06 
iter 270 || Loss: 2285.6371459960938 || cur_lr: 1e-06 
iter 280 || Loss: 1748.5023193359375 || cur_lr: 1e-06 
iter 290 || Loss: 1778.5045776367188 || cur_lr: 1e-06 
iter 300 || Loss: 1798.958740234375 || cur_lr: 1e-06 
